Country, Timezone
New York, America/New_York
UK, Europe/London
Japan, Asia/Tokyo
India, Asia/Kolkata
Australia, Sydney
Germany, Europe/Berlin
Canada, Toronto
Brazil, America/Sao_Paulo
China, Asia/Shanghai
South Africa, Africa/Johannesburg
France, Europe/Paris
Mexico, America/Mexico_City
Russia, Europe/Moscow
South Korea, Asia/Seoul
Argentina, America/Argentina/Buenos_Aires
Turkey, Europe/Istanbul
Saudi Arabia, Asia/Riyadh
Nigeria, Africa/Lagos
Singapore, Asia/Singapore
New Zealand, Pacific/Auckland
Italy, Europe/Rome
Spain, Europe/Madrid
Switzerland, Europe/Zurich
Egypt, Africa/Cairo
Thailand, Asia/Bangkok
Colombia, America/Bogota
Ireland, Europe/Dublin
Norway, Europe/Oslo
Chile, America/Santiago
Indonesia, Asia/Jakarta
